loss_1,loss_2,loss_3
2.304607093334198,2.3053181648254393,2.3053181648254393
2.160918354988098,1.6109708964824678,0.9019774556159974
1.5115379273891447,0.979342195391655,0.47928980141878125
1.0733970433473587,0.6988022163510322,0.3643083840608597
0.8602640241384507,0.5814296677708626,0.32940216213464735
0.7717914998531341,0.47729902490973475,0.3007230028510094
0.6266673922538757,0.4325592875480652,0.2963477604091167
0.6159743830561638,0.4043410018086433,0.29555265307426454
0.4943061232566833,0.38335711956024165,0.2751285918056965
0.444639840722084,0.35206100642681126,0.2740292862057686
0.4443518675863743,0.3259538471698761,0.268599122017622
0.43608447536826134,0.32684603706002235,0.26691462546586986
0.41486706063151363,0.31140114217996595,0.2609893247485161
0.4305165372788906,0.298124723136425,0.2565876543521881
0.37840491309762003,0.29848437532782557,0.2564872160553932
0.361985844373703,0.28588638454675674,0.24858095832169055
0.3463436834514141,0.28907502442598343,0.2537897042930126
0.33123467564582826,0.28765526488423343,0.25071367695927615
0.3234572745859623,0.2834721989929676,0.24925406873226166
0.32456653714179995,0.2864867262542248,0.2397516928613186
0.326129100471735,0.2767083585262299,0.24216529913246632
0.3147027999162674,0.26743910014629363,0.24818197041749954
0.3249564737081527,0.2684169203042984,0.2594940818846226
0.3107979618012905,0.27182184830307965,0.24730763137340545
0.29926563501358033,0.26608035042881967,0.2388235367834568
0.306482645124197,0.2772965930402279,0.23551282845437527
0.282938052713871,0.26865684390068056,0.23596441559493542
0.2924701161682606,0.2621590528637171,0.23262733705341815
0.288371716439724,0.25909674949944017,0.24023353233933448
0.28682492300868034,0.2654579371213913,0.2330652792006731
0.3067242085933686,0.25921223163604734,0.2332366917282343
0.27951282560825347,0.2572477787733078,0.22360029481351373
0.28187567442655564,0.2674507722258568,0.233778091147542
0.28072561547160146,0.26695187762379646,0.23936245068907738
0.2711796879768371,0.2636757161468267,0.2367743194103241
0.2844126641750335,0.2655977994203568,0.23594111502170562
0.279513730853796,0.25265022441744805,0.23071053065359592
0.2863874219357967,0.25585389435291295,0.24092434719204903
0.27359006106853484,0.25576438568532467,0.23284498415887356
0.26321457251906394,0.25120089687407016,0.22840014584362506
0.2754781313240528,0.2515672333538532,0.230642332136631
