acc_1,acc_2,acc_3
0.10659999884665013,0.10659999884665013,0.10659999884665013
0.1924999963492155,0.14554999768733978,0.10649999864399434
0.29464999958872795,0.1624999985098839,0.10784999914467336
0.3977499887347221,0.15940000005066396,0.1109499990940094
0.5514499992132187,0.16209999956190585,0.12379999868571759
0.5915500029921532,0.16799999997019766,0.1301999967545271
0.5971499919891358,0.17319999933242797,0.13569999895989895
0.6237499952316284,0.18079999797046184,0.13739999905228614
0.6398500025272369,0.19114999994635584,0.1388999979943037
0.6551499992609024,0.19920000098645688,0.14249999783933162
0.6569499939680099,0.21060000285506247,0.14554999731481075
0.6715499937534333,0.22030000239610673,0.14819999672472478
0.6826999962329865,0.22979999631643294,0.15174999833106995
0.6841999992728234,0.23104999586939812,0.15355000048875808
0.6947500005364418,0.24295000061392785,0.15524999797344208
0.6908999919891358,0.2621499985456467,0.15734999775886535
0.7086500078439713,0.2728500016033649,0.15859999880194664
0.7048999980092049,0.2874999940395355,0.16045000068843365
0.7124499991536141,0.3122500032186508,0.16099999770522117
0.7192499920725822,0.3326499968767166,0.16219999752938746
0.7171999961137772,0.3582000002264977,0.16339999735355376
0.7175999954342842,0.3766999959945679,0.16674999855458736
0.7242999970912933,0.3990000024437904,0.16645000018179418
0.7319999933242798,0.41545000225305556,0.16734999641776085
0.7332000091671944,0.43585000187158585,0.16764999814331533
0.734799998998642,0.4490499943494797,0.1697000000625849
0.7356499880552292,0.46535000056028364,0.16889999993145466
0.7353500038385391,0.47809999287128446,0.17040000073611736
0.7367499977350236,0.47815000265836716,0.16944999843835828
0.7357999950647354,0.49325000047683715,0.16939999982714654
0.7449999898672104,0.5047999918460846,0.16929999813437463
